Taxon,ERR1605630,ERR1605631,ERR1605632,ERR1605633,ERR1605634,ERR1605635,ERR1605636,ERR1605637,ERR1605638,ERR1605639,ERR1605640,ERR1605641,ERR1605642,ERR1605643,ERR1605644,ERR1605645,ERR1605646,ERR1605647,ERR1605648,ERR1605649,ERR1605650,ERR1605651,ERR1605652,ERR1605653,ERR1605654,ERR1605655,ERR1605656,ERR1605657,ERR1605658,ERR1605659,ERR1605660,ERR1605661,ERR1605662,ERR1605663,ERR1605664,ERR1605665,ERR1605666,ERR1605667,ERR1605668,ERR1605669,ERR1605670,ERR1605671,ERR1605672,ERR1605673,ERR1605674,ERR1605675,ERR1605676,ERR1605677,ERR1605678,ERR1605679,ERR1605680,ERR1605681
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Salinicoccus; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015374164253280417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus,0.0,0.0,0.0010130659531911578,0.0059393800053646004,0.0,0.0006358795008345918,0.0,0.0,0.06838407494145199,0.018879878357830716,0.0,0.0008953803967654383,0.00594512937965986,0.0,0.012662752106203727,0.014260135567208083,0.0,0.0,0.0,0.006709385601206182,0.010986938275097845,0.0,0.03346562265365226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006737866249161261,0.007655014034192395,0.0,0.0,0.0,0.005261936082952875,0.024732726982607308,0.0,0.0,0.0067173938889549395,0.0,0.004986068338466051,0.0,0.004555808656036446,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__,0.0,0.0,0.0,0.0013028317431122351,0.001919846412287017,0.002901200222557825,0.0,0.0,0.0,0.0,0.001477720521370112,0.0,0.0055065542614882316,0.0,0.00822057697217258,0.008760711088374474,0.0,0.0,0.001153127360928864,0.0,0.005894280190503136,0.0,0.003646894776359541,0.0,0.0,0.0,0.0,0.0,0.0,0.05454053322506429,0.0,0.0075992326988342926,0.004585104003578618,0.003776473590201582,0.0,0.0,0.0,0.0027857308674456393,0.009573958831977022,0.0,0.0,0.004934014980382833,0.0,0.001979762428508579,0.0,0.002444580254458581,0.0,0.0031169199164098747,0.0,0.0,0.0,0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__aureus,0.0,0.0,0.0,0.0,0.0021598272138228943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024852590029725645,0.0,0.002297676793464386,0.0,0.0,0.0,0.0,0.0,0.0007073136228603763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__epidermidis,0.0,0.016112266112266113,0.006935605371847156,0.004329999616814193,0.007679385649148068,0.0,0.0,0.0,0.30460577673692424,0.08654333502280791,0.0,0.0038613279610509527,0.050533599727108816,0.0,0.04013275465917794,0.03747282261158716,0.0,0.0,0.03348045647938288,0.043347154165096116,0.011269863724241996,0.0,0.016875826808251993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006575691154634801,0.006418769366976539,0.00875083873853724,0.008930849706557796,0.0,0.0,0.0,0.009363150971136732,0.024573161002074358,0.0,0.0,0.017417667340387587,0.0,0.02331720193576771,0.0,0.0106672592921829,0.0,0.011192576063471823,0.0,0.0,0.0,0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__equorum,0.0,0.0,0.0,0.0001532743227190865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013644559232006237,0.0,0.0051059484299208575,0.0036449673871339046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__haemolyticus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011183180496533215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008389354964164675,0.0,0.005525448942726597,0.0,0.0,0.0,0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__lugdunensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011435738527371994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__pettenkoferi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002236636099306643,0.0031130390405715745,0.0,0.0,0.0,0.008202429776367717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001722317906550364,0.0,0.001735557680728226,0.0,0.0,0.0,0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__[Exiguobacteraceae]; g__Exiguobacterium; s__,0.0,0.0,0.0,0.0,0.0,0.0005563945632302679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019570565868933125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
